id,Name,ISO 639-1
1,,oc
2,ελληνικά,el
3,,cr
4,Tiếng Việt,vi
5,Bahasa indonesia,id
6,Somali,so
7,اردو,ur
8,Dansk,da
9,Latviešu,lv
10,Cymraeg,cy
11,Malti,mt
12,پښتو,ps
13,Magyar,hu
14,Український,uk
15,No Language,xx
16,Nederlands,nl
17,বাংলা,bn
18,suomi,fi
19,,qu
20,,km
21,Gaeilge,ga
22,Lietuvikai,lt
23,қазақ,kk
24,Bahasa melayu,ms
25,,mn
26,Kinyarwanda,rw
27,Íslenska,is
28,,ml
29,Italiano,it
30,,gd
31,한국어/조선말,ko
32,普通话,zh
33,Français,fr
34,,yi
35,Deutsch,de
36,,am
37,,ty
38,,sa
39,,fy
40,български език,bg
41,Español,es
42,ქართული,ka
43,Slovenščina,sl
44,svenska,sv
45,Bosanski,bs
46,فارسی,fa
47,తెలుగు,te
48,Eesti,et
49,,ce
50,,my
51,ਪੰਜਾਬੀ,pa
52,Hausa,ha
53,,hy
54,Català,ca
55,,st
56,Hrvatski,hr
57,Slovenčina,sk
58,,xh
59,,tt
60,Fulfulde,ff
61,isiZulu,zu
62,Wolof,wo
63,Galego,gl
64,हिन्दी,hi
65,English,en
66,עִבְרִית,he
67,Český,cs
68,ozbek,uz
69,euskera,eu
70,??????,ky
71,தமிழ்,ta
72,广州话 / 廣州話,cn
73,,lo
74,,nv
75,Bokmål,nb
76,ภาษาไทย,th
77,shqip,sq
78,Kiswahili,sw
79,Polski,pl
80,Latin,la
81,,kw
82,Pусский,ru
83,,ln
84,العربية,ar
85,Afrikaans,af
86,,ny
87,,ig
88,,mi
89,Azərbaycan,az
90,Türkçe,tr
91,,mr
92,Română,ro
93,Norsk,no
94,,bo
95,,si
96,,lb
97,,sc
98,?????,kn
99,,sh
100,Português,pt
101,日本語,ja
102,,mk
103,Srpski,sr
104,,ku
105,Bamanankan,bm
106,,se
107,,tl
